1;          ;00;05;10;+;45;13;45;+6.70;   ;in Andromeda
2;          ;00;05;04;+;00;30;11;+6.29;   ;
3; 33    Psc;00;05;20;+;05;42;27;+4.61;PSC;33 Piscium
4; 86    Peg;00;05;42;+;13;23;46;+5.51;PEG;
5;          ;00;06;16;+;58;26;12;+5.96;   ;
6;          ;00;06;19;+;49;04;30;+5.70;   ;
7; 10    Cas;00;06;26;+;64;11;46;+5.59;CAS;
8;          ;00;06;37;+;29;01;17;+6.13;   ;
9;          ;00;06;50;+;23;06;27;+6.18;   ;
10;          ;00;07;18;+;17;23;11;+6.19;   ;
11;          ;00;07;44;+;02;32;56;+6.43;   ;
12;          ;00;07;47;+;22;30;32;+5.94;   ;
13;          ;00;08;03;+;33;31;46;+5.68;   ;
14;          ;00;08;12;+;02;26;52;+6.07;   ;
15; 21Alp And;00;08;23;+;29;05;26;+2.06;AND;Alpheratz
16;          ;00;08;17;+;08;49;26;+5.99;   ;
17;          ;00;08;41;+;36;37;36;+6.19;   ;
18;          ;00;08;33;+;17;34;39;+6.06;   ;
19;          ;00;08;52;+;25;27;46;+6.23;   ;
20;          ;00;09;20;+;79;42;53;+6.01;   ;
21; 11Bet Cas;00;09;11;+;59;08;59;+2.27;CAS;Caph
22; 87    Peg;00;09;02;+;18;12;43;+5.53;PEG;
23;          ;00;09;02;+;54;00;07;+6.33;   ;
24;   Kap1Scl;00;09;21;+;27;59;16;+5.42;SCL;
25;   Eps Phe;00;09;25;+;45;44;51;+3.88;PHE;Epsilon Phoenicis
26; 34    Psc;00;10;02;+;11;08;44;+5.51;PSC;
27; 22    And;00;10;19;+;46;04;20;+5.03;AND;22 Andromedae
28;          ;00;10;30;+;57;09;56;+6.74;   ;
29;          ;00;10;19;+;05;14;55;+5.84;   ;
30;   Gam3Oct;00;10;02;+;82;13;26;+5.28;OCT;
31;          ;00;10;43;+;12;34;48;+5.85;   ;
32;          ;00;10;39;+;73;13;28;+6.64;   ;
33;  6    Cet;00;11;16;+;15;28;05;+4.89;CET;
34;   Kap2Scl;00;11;34;+;27;47;59;+5.41;SCL;
35;   The Scl;00;11;44;+;35;07;59;+5.25;SCL;
36;          ;00;11;59;+;48;09;09;+6.16;   ;
37;          ;00;12;10;+;17;56;18;+5.25;   ;
38;          ;00;12;50;+;37;41;36;+6.73;   ;
39; 88Gam Peg;00;13;14;+;15;11;01;+2.83;PEG;Algenib
40;          ;00;13;24;+;26;59;14;+6.30;   ;
41; 23    And;00;13;31;+;41;02;07;+5.72;AND;
42;          ;00;13;42;+;26;01;19;+5.94;   ;
43;          ;00;13;44;+;26;17;05;+6.31;   ;
44;          ;00;14;02;+;33;12;22;+6.25;   ;
45; 89Chi Peg;00;14;36;+;20;12;24;+4.80;PEG;Chi Pegasi
46;          ;00;14;28;+;07;46;50;+5.12;   ;
47;          ;00;13;19;+;84;59;39;+5.77;   ;
48;  7    Cet;00;14;38;+;18;55;58;+4.44;CET;7 Ceti
49;          ;00;14;56;+;22;17;03;+6.24;   ;
50; 35    Psc;00;14;59;+;08;49;15;+5.79;PSC;
51;          ;00;14;54;+;09;34;11;+5.75;   ;
52;          ;00;15;07;+;31;32;09;+6.45;   ;
53;          ;00;15;11;+;27;16;59;+6.35;   ;
54;          ;00;14;58;+;34;54;16;+6.17;   ;
55;          ;00;16;14;+;76;57;03;+6.35;   ;
56;          ;00;16;22;+;43;35;41;+6.15;   ;
57;          ;00;16;09;+;31;26;47;+5.67;   ;
58;          ;00;15;55;+;75;54;41;+6.49;   ;
59; 36    Psc;00;16;34;+;08;14;24;+6.11;PSC;
60;          ;00;16;57;+;61;32;00;+5.74;   ;
61;          ;00;16;42;+;20;12;38;+6.47;   ;
62;          ;00;17;09;+;47;56;51;+5.89;   ;
63; 24The And;00;17;05;+;38;40;54;+4.61;AND;Theta Andromedae
64;          ;00;16;49;+;78;46;50;+6.77;   ;
65;          ;00;17;43;+;51;25;59;+6.14;   ;
66;          ;00;17;33;+;19;03;04;+6.45;   ;
67;          ;00;17;48;+;01;41;20;+6.17;   ;
68; 25Sig And;00;18;20;+;36;47;07;+4.52;AND;Sigma Andromedae
69;          ;00;18;17;+;11;12;21;+6.05;   ;
70; 26    And;00;18;42;+;43;47;28;+6.11;AND;
71;          ;00;18;38;+;31;31;02;+5.87;   ;
72;          ;00;18;42;+;08;03;10;+6.46;   ;
73;          ;00;18;43;+;43;14;07;+6.33;   ;
74;  8Iot Cet;00;19;26;+;08;49;26;+3.56;CET;Deneb Kaitos Shemali
75;          ;00;19;42;+;40;43;47;+6.33;   ;
76;          ;00;20;05;+;48;51;55;+6.52;   ;
77;   Zet Tuc;00;20;04;+;64;52;29;+4.23;TUC;Zeta Tucanae
78;          ;00;20;24;+;30;56;09;+5.90;   ;
79;          ;00;20;45;+;32;54;41;+5.79;   ;
80; 41    Psc;00;20;36;+;08;11;25;+5.37;PSC;
81;          ;00;20;54;+;10;58;37;+6.56;   ;
82; 27Rho And;00;21;07;+;37;58;07;+5.18;AND;Rho Andromedae
83;   Pi  Tuc;00;20;39;+;69;37;30;+5.51;TUC;
84;   Iot Scl;00;21;31;+;28;58;54;+5.18;SCL;
85;          ;00;21;46;+;20;03;28;+5.12;   ;
86; 42    Psc;00;22;25;+;13;28;57;+6.23;PSC;
87;          ;00;21;29;+;77;25;37;+5.97;   ;in Hydrus
88;  9    Cet;00;22;52;+;12;12;34;+6.39;CET;
89;          ;00;23;13;+;31;02;10;+6.55;   ;
90;          ;00;24;02;+;38;34;38;+7.39;   ;
91;          ;00;24;16;+;52;01;12;+5.57;   ;V746 Cassiopeiae
93; 12    Cas;00;24;47;+;61;49;52;+5.40;CAS;
94;          ;00;24;30;+;02;13;09;+6.07;   ;
96;          ;00;25;06;+;53;02;49;+5.74;   ;
97; 44    Psc;00;25;24;+;01;56;23;+5.77;PSC;
98;   Bet Hyi;00;25;45;+;77;15;15;+2.80;HYI;Beta Hydri
99;   Alp Phe;00;26;17;+;42;18;22;+2.39;PHE;Ankaa
100;   Kap Phe;00;26;12;+;43;40;48;+3.94;PHE;
101; 10    Cet;00;26;37;+;00;02;59;+6.19;CET;
102;          ;00;27;15;+;25;32;50;+5.98;   ;
103; 47    Psc;00;28;03;+;17;53;35;+5.06;PSC;
104;          ;00;28;14;+;44;23;40;+5.17;   ;
105;   Eta Scl;00;27;56;+;33;00;26;+4.81;SCL;
106; 48    Psc;00;28;13;+;16;26;42;+6.06;PSC;
107;          ;00;28;20;+;10;11;23;+6.04;   ;
108;          ;00;28;21;+;20;20;06;+6.43;   ;
109;          ;00;28;26;+;39;54;54;+5.43;   ;
110;          ;00;28;57;+;36;54;00;+6.26;   ;
111;          ;00;28;43;+;50;31;58;+6.26;   ;
112;          ;00;30;55;+;77;01;10;+6.21;   ;
